,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
5,Flinders Street Station Underpass,128,94,72,42,56,238,983,1770,3725,2140,1256,1298,1970,1722,1769,2384,3389,4618,2954,1833,1528,1408,1258,868,37503,1562.625,9/08/2019
6,Birrarung Marr,7,2,,2,9,17,65,169,303,124,88,124,99,94,102,115,220,413,516,400,191,164,450,781,4455,193.6956522,9/08/2019
7,Webb Bridge,7,4,1,3,4,21,63,223,363,236,131,181,380,262,168,208,337,507,301,181,143,133,76,23,3956,164.8333333,9/08/2019
8,Southern Cross Station,14,9,9,7,7,91,490,1985,3998,2616,832,819,1573,1123,890,1342,2874,3556,1487,550,313,169,142,82,24978,1040.75,9/08/2019
9,Victoria Point,12,13,1,5,4,23,99,335,632,501,294,294,420,371,235,276,553,697,344,175,119,98,50,20,5571,232.125,9/08/2019
10,Waterfront City,2,,,1,5,1,2,9,32,8,16,6,27,7,11,37,45,45,68,32,59,31,21,3,468,21.27272727,9/08/2019
11,New Quay,10,11,5,2,2,13,26,86,222,181,84,93,179,63,124,159,252,395,312,277,261,174,164,78,3173,132.2083333,9/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
13,Sandridge Bridge,56,21,20,9,28,99,240,501,1197,645,394,384,419,318,555,626,1027,1558,936,521,397,421,413,342,11127,463.625,9/08/2019
14,State Library,97,49,31,37,27,41,79,223,596,664,798,934,1436,1692,1805,1608,1904,2353,2169,1687,1622,1275,893,491,22511,937.9583333,9/08/2019
15,Collins St (North),61,30,29,14,7,53,204,440,795,943,1069,1166,1950,1970,1491,1396,1474,1779,1208,725,524,363,352,254,18297,762.375,9/08/2019
16,Collins Place (South),34,7,13,7,10,96,260,768,1860,1413,864,672,1337,1367,755,850,808,1299,836,360,481,215,228,232,14772,615.5,9/08/2019
17,Collins Place (North),16,6,3,6,4,44,197,681,1526,905,460,422,495,466,485,545,1024,1426,700,308,181,130,127,91,10248,427,9/08/2019
18,Chinatown-Swanston St (North),138,76,57,39,29,32,58,61,138,177,348,479,1043,890,807,869,910,1237,1730,1672,1361,1186,1035,624,14996,624.8333333,9/08/2019
19,Chinatown-Lt Bourke St (South),138,85,48,86,19,36,20,75,187,236,327,488,763,833,554,572,557,796,1209,1307,1278,870,863,529,11876,494.8333333,9/08/2019
20,Bourke St-Russell St (West),244,149,143,121,62,65,74,174,338,397,605,744,1518,1463,1060,996,1160,1461,1657,1463,1360,1169,930,761,18114,754.75,9/08/2019
21,Flinders St-Elizabeth St (East),429,228,149,127,108,195,789,1580,2722,2036,1863,1974,2665,2580,2536,3027,3615,4540,3841,2707,2251,2182,1854,1438,45436,1893.166667,9/08/2019
22,Spencer St-Collins St (South),47,28,14,9,17,57,248,644,1443,933,574,489,893,721,663,600,867,1129,645,317,222,220,214,106,11100,462.5,9/08/2019
23,Spencer St-Collins St (North),131,54,54,19,41,340,1124,2346,4324,2934,1765,1703,2463,2319,2119,2659,3686,4713,2838,1544,1014,1019,873,633,40715,1696.458333,9/08/2019
24,Melbourne Convention Exhibition Centre,31,26,,,,,,,,,,,,,,,,,,,,,,,57,28.5,9/08/2019
25,QV Market-Elizabeth St (West),126,107,80,66,41,81,146,263,647,759,895,959,1493,1300,1060,971,890,820,768,645,567,494,337,356,13871,577.9583333,9/08/2019
26,QV Market-Peel St,18,19,5,5,13,5,46,71,175,158,167,257,300,274,217,210,203,236,221,141,124,91,92,101,3149,131.2083333,9/08/2019
27,The Arts Centre,65,25,24,37,37,85,289,694,1448,1052,1089,1183,1628,1327,1433,1398,1724,2453,2328,2280,721,1442,1268,391,24421,1017.541667,9/08/2019
28,St Kilda Rd-Alexandra Gardens,13,8,5,1,10,22,48,106,232,171,221,256,251,217,218,330,387,601,412,263,168,153,184,218,4495,187.2916667,9/08/2019
29,Lonsdale St (South),216,170,85,71,56,37,52,137,349,343,426,488,970,1043,781,689,866,1269,1341,1349,1216,1134,891,661,14640,610,9/08/2019
30,Lygon St (West),52,13,17,14,12,13,55,63,139,141,167,203,322,344,209,231,252,333,390,512,528,520,375,284,5189,216.2083333,9/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
32,Flinders St-Spring St (West),15,6,2,,4,11,77,201,489,375,210,231,299,255,213,265,439,496,307,183,128,85,92,146,4529,196.9130435,9/08/2019
33,Flinders St-Spark La,12,5,5,2,6,27,56,75,249,247,201,114,197,112,149,239,272,358,296,192,84,104,107,222,3331,138.7916667,9/08/2019
34,Southbank,73,42,31,19,30,86,621,674,1405,905,707,744,1433,1063,986,1184,1468,2218,1671,1189,1059,1038,837,752,20235,843.125,9/08/2019
35,Queen St (West),25,34,11,18,19,15,57,199,598,506,418,483,1067,895,593,596,646,786,551,376,310,286,336,289,9114,379.75,9/08/2019
36,Lygon St (East),12,13,5,3,10,3,18,46,93,120,129,182,241,278,195,173,175,252,293,323,263,290,145,86,3348,139.5,9/08/2019
37,Alfred Place,9,2,1,8,6,24,79,301,671,775,553,596,1416,1037,470,393,521,735,388,284,190,166,73,76,8774,365.5833333,9/08/2019
38,Lonsdale St-Spring St (West),16,3,6,8,5,27,92,270,750,652,593,730,1003,970,645,587,571,767,618,423,269,194,395,95,9689,403.7083333,9/08/2019
39,Grattan St-Swanston St (West),14,17,6,7,2,18,59,126,529,595,651,841,1054,996,758,803,838,825,533,295,194,148,115,40,9464,394.3333333,9/08/2019
40,Monash Rd-Swanston St (West),16,6,,3,1,9,31,106,572,618,515,440,710,555,645,756,886,918,597,341,192,147,94,58,8216,357.2173913,9/08/2019
41,Tin Alley-Swanston St (West),14,5,,2,,6,17,47,201,139,156,175,220,159,229,243,283,335,249,187,100,74,52,42,2935,133.4090909,9/08/2019
42,Little Collins St-Swanston St (East),128,61,43,30,42,48,142,380,839,728,758,914,1468,1523,1511,1444,1728,2236,1897,1350,1416,1269,1043,608,21606,900.25,9/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
44,Pelham St (South),8,6,1,,1,9,29,101,221,269,268,236,368,464,291,223,330,330,201,140,97,106,42,44,3785,164.5652174,9/08/2019
45,Melbourne Central-Elizabeth St (East),129,79,61,51,55,102,174,381,878,845,898,1123,1543,1587,1479,1669,2155,2607,2035,1531,1325,1088,790,575,23160,965,9/08/2019
46,QVM-Queen St (East),21,19,5,8,1,24,53,132,248,331,348,430,619,542,399,410,343,370,312,208,220,151,116,108,5418,225.75,9/08/2019
47,QVM-Therry St (South),67,70,43,32,15,29,63,84,120,172,292,247,330,273,258,287,189,185,125,138,158,136,131,113,3557,148.2083333,9/08/2019
48,Faraday St-Lygon St (West),16,1,3,3,8,2,24,43,196,214,267,290,392,428,344,308,320,564,801,788,551,355,323,128,6369,265.375,9/08/2019
49,QVM-Franklin St (North),38,20,11,5,4,6,38,71,194,176,203,206,295,209,229,206,213,200,195,169,131,181,98,85,3183,132.625,9/08/2019
50,Elizabeth St-Lonsdale St (South),43,40,10,15,9,22,50,172,637,539,484,557,862,826,839,708,831,1017,840,652,744,729,464,363,11453,477.2083333,9/08/2019
51,Lincoln-Swanston (W),20,12,2,7,,7,45,77,315,288,261,296,405,429,307,392,453,598,422,278,191,206,137,100,5248,228.173913,9/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
53,Lonsdale St - Elizabeth St (North),19,27,15,7,17,17,76,141,372,331,332,477,772,746,682,615,626,898,847,529,456,433,283,222,8940,372.5,9/08/2019
54,Bourke St Bridge,26,16,10,4,5,93,474,1702,4257,2914,956,1215,1964,1342,1055,1407,2452,2834,1224,444,242,172,131,136,25075,1044.791667,9/08/2019
55,Bourke St - Spencer St (North),98,82,54,27,23,118,370,1088,2266,1677,1021,1215,1571,1422,1229,1397,2027,2491,1535,915,714,519,413,341,22613,942.2083333,9/08/2019
56,RMIT Bld 80 - 445 Swanston Street,4,2,5,2,,1,4,26,389,317,489,381,550,282,499,492,491,343,40,41,35,26,17,12,4448,193.3913043,9/08/2019
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
58,RMIT Building 14,59,51,21,20,34,40,107,240,896,836,1100,993,1643,1251,1375,1256,1390,1425,1111,717,680,531,337,236,16349,681.2083333,9/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,9/08/2019
0,Bourke Street Mall (North),187,122,87,69,44,20,65,93,284,730,1487,2217,2752,3257,3683,3787,3630,3244,2393,1757,846,609,590,371,32324,1346.833333,10/08/2019
1,Bourke Street Mall (South),133,92,46,39,29,32,40,79,196,424,944,1651,1917,1967,2224,2451,2415,1757,1007,526,291,221,238,172,18891,787.125,10/08/2019
2,Melbourne Central,813,489,346,281,134,112,112,164,326,435,735,1065,1700,2290,2379,2570,2367,2565,2855,2716,2694,2099,1737,1424,32408,1350.333333,10/08/2019
3,Town Hall (West),537,311,208,174,109,103,99,169,374,727,1559,2029,2720,2941,3016,3297,3267,2850,2183,1671,1586,1281,985,938,33134,1380.583333,10/08/2019
4,Princes Bridge,390,163,137,91,56,74,67,146,308,556,1148,1667,2256,3103,2199,3038,3128,2472,2170,2008,1224,1798,1323,856,30378,1265.75,10/08/2019
5,Flinders Street Station Underpass,563,254,201,127,103,114,215,418,522,760,1096,1274,1503,1363,1677,1925,2020,1905,1657,1418,1167,1128,1091,922,23423,975.9583333,10/08/2019
6,Birrarung Marr,42,17,9,2,5,5,22,37,44,56,111,247,655,856,201,345,1728,382,455,460,200,60,461,995,7395,308.125,10/08/2019
7,Webb Bridge,15,5,2,5,1,5,18,30,59,83,150,133,211,178,219,272,219,245,305,129,78,133,180,33,2708,112.8333333,10/08/2019
8,Southern Cross Station,48,25,9,4,9,16,46,70,109,131,134,168,167,141,207,178,184,232,251,110,52,106,132,44,2573,107.2083333,10/08/2019
9,Victoria Point,26,9,3,10,7,4,19,26,48,66,100,59,106,50,102,95,103,177,192,114,55,103,169,41,1684,70.16666667,10/08/2019
10,Waterfront City,10,7,,1,1,,,,5,4,15,8,46,34,42,67,24,61,69,50,22,24,46,12,548,27.4,10/08/2019
11,New Quay,85,18,8,9,5,3,7,17,55,76,139,112,126,208,243,294,256,522,1065,542,217,451,592,114,5164,215.1666667,10/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
13,Sandridge Bridge,245,194,94,87,72,61,86,99,176,202,383,363,437,493,577,695,637,698,593,484,442,382,415,402,8317,346.5416667,10/08/2019
14,State Library,265,248,96,70,53,47,33,73,165,250,498,739,1174,1650,1758,1771,1711,1983,1652,1543,1308,1007,829,453,19376,807.3333333,10/08/2019
15,Collins St (North),148,65,54,29,19,35,49,109,241,476,877,1192,1472,1442,1358,1622,1281,1140,754,523,332,320,327,268,14133,588.875,10/08/2019
16,Collins Place (South),68,59,14,4,16,22,77,73,153,208,329,320,336,400,255,458,413,386,468,279,336,175,205,121,5175,215.625,10/08/2019
17,Collins Place (North),37,19,18,18,6,9,35,54,69,89,163,210,196,182,200,189,179,195,213,109,123,64,104,50,2531,105.4583333,10/08/2019
18,Chinatown-Swanston St (North),325,249,132,85,37,23,19,51,83,170,328,655,1098,1241,1278,1305,1197,1332,1510,1592,1284,1080,812,617,16503,687.625,10/08/2019
19,Chinatown-Lt Bourke St (South),314,123,85,61,57,24,29,49,49,140,321,492,704,811,807,692,723,1029,1101,1307,1082,994,930,1067,12991,541.2916667,10/08/2019
20,Bourke St-Russell St (West),569,456,343,290,195,110,69,119,144,200,469,633,958,1064,1183,1297,1336,1354,1314,1347,1184,1050,998,806,17488,728.6666667,10/08/2019
21,Flinders St-Elizabeth St (East),764,458,348,303,169,170,191,349,777,1202,1569,2053,2465,2752,2728,3046,3109,3057,2782,2380,1921,1800,1514,1412,37319,1554.958333,10/08/2019
22,Spencer St-Collins St (South),81,49,33,28,16,16,42,66,103,216,189,279,214,308,270,318,333,363,299,218,256,183,332,146,4358,181.5833333,10/08/2019
23,Spencer St-Collins St (North),303,176,65,68,51,116,297,473,732,1018,1401,1265,1287,1251,1241,1583,1658,1745,1868,1133,827,949,1267,761,21535,897.2916667,10/08/2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
25,QV Market-Elizabeth St (West),191,145,96,,,,,,,,,,,,,,,,,,,,,,432,144,10/08/2019
26,QV Market-Peel St,32,27,12,11,8,10,33,51,141,191,296,375,408,376,409,362,215,205,148,144,123,101,61,79,3818,159.0833333,10/08/2019
27,The Arts Centre,127,83,46,38,23,71,50,83,240,434,980,1486,2046,3305,2040,2549,2912,1745,1492,1867,561,942,1161,298,24579,1024.125,10/08/2019
28,St Kilda Rd-Alexandra Gardens,31,22,8,14,11,11,40,42,58,111,301,367,484,635,705,1078,654,491,308,234,113,136,118,273,6245,260.2083333,10/08/2019
29,Lonsdale St (South),513,414,317,266,143,118,86,85,177,221,389,511,754,993,848,884,973,1090,1312,1229,1238,1105,929,846,15441,643.375,10/08/2019
30,Lygon St (West),151,59,15,14,30,13,17,31,73,91,197,171,285,312,329,311,382,491,604,580,578,570,404,303,6011,250.4583333,10/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
32,Flinders St-Spring St (West),41,13,7,6,4,13,39,37,53,89,120,127,161,146,109,166,204,147,197,149,91,93,87,121,2220,92.5,10/08/2019
33,Flinders St-Spark La,29,10,15,11,5,20,27,24,33,77,167,140,146,197,193,184,290,225,235,187,99,123,169,223,2829,117.875,10/08/2019
34,Southbank,269,155,100,54,29,26,124,329,322,524,824,1119,1268,1272,1412,1484,1745,1799,1704,1764,1145,1010,984,1001,20463,852.625,10/08/2019
35,Queen St (West),173,221,189,138,66,9,18,36,69,161,165,202,227,212,203,227,208,244,264,249,323,850,734,534,5722,238.4166667,10/08/2019
36,Lygon St (East),30,22,10,5,,14,1,9,55,79,134,200,244,225,245,229,234,311,437,340,321,285,174,97,3701,160.9130435,10/08/2019
37,Alfred Place,26,13,5,8,6,12,21,53,89,145,187,161,176,206,152,201,240,258,233,229,189,181,88,52,2931,122.125,10/08/2019
38,Lonsdale St-Spring St (West),54,24,10,17,13,11,33,71,154,116,229,399,356,550,292,315,345,399,396,298,166,159,369,125,4901,204.2083333,10/08/2019
39,Grattan St-Swanston St (West),36,12,14,14,2,8,7,28,51,95,88,193,193,240,194,193,206,201,162,108,86,87,52,58,2328,97,10/08/2019
40,Monash Rd-Swanston St (West),18,13,4,6,1,5,2,16,36,74,117,144,169,211,173,220,209,247,161,121,98,114,81,60,2300,95.83333333,10/08/2019
41,Tin Alley-Swanston St (West),9,14,10,5,1,1,3,15,30,51,61,100,70,122,109,125,127,148,75,69,51,43,48,28,1315,54.79166667,10/08/2019
42,Little Collins St-Swanston St (East),371,256,151,107,69,62,70,129,182,328,596,873,1191,1643,1683,1934,1669,1514,1202,1196,1059,959,846,569,18659,777.4583333,10/08/2019
43,Flinders La-Swanston St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
44,Pelham St (South),18,8,3,2,4,2,30,20,61,47,138,106,171,190,112,76,116,151,105,70,45,54,54,28,1611,67.125,10/08/2019
45,Melbourne Central-Elizabeth St (East),272,284,146,97,108,56,82,143,272,599,938,1328,1632,2018,2071,2140,1760,1906,1580,1409,1054,768,722,523,21908,912.8333333,10/08/2019
46,QVM-Queen St (East),54,37,26,18,6,22,53,97,206,299,516,655,801,924,842,729,414,337,227,226,180,129,80,97,6975,290.625,10/08/2019
47,QVM-Therry St (South),86,60,64,67,21,27,35,72,109,263,424,532,524,519,423,321,141,148,109,150,105,93,68,67,4428,184.5,10/08/2019
48,Faraday St-Lygon St (West),57,9,14,3,6,11,32,26,87,256,337,475,588,548,733,663,627,665,702,625,516,441,344,159,7924,330.1666667,10/08/2019
49,QVM-Franklin St (North),45,32,12,10,11,10,27,37,64,171,201,238,296,351,248,308,201,178,157,178,109,134,97,89,3204,133.5,10/08/2019
50,Elizabeth St-Lonsdale St (South),253,219,150,103,55,33,18,52,196,252,353,479,605,792,682,793,701,705,625,667,451,583,533,419,9719,404.9583333,10/08/2019
51,Lincoln-Swanston (W),29,23,25,10,6,2,11,19,31,65,76,150,193,158,156,180,144,164,167,136,109,137,109,54,2154,89.75,10/08/2019
52,Elizabeth St-La Trobe St (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
53,Lonsdale St - Elizabeth St (North),157,81,41,48,21,24,17,68,135,223,492,570,603,663,605,583,581,600,453,569,402,304,292,208,7740,322.5,10/08/2019
54,Bourke St Bridge,44,25,10,12,13,12,39,59,116,155,245,266,286,229,256,382,966,2869,8803,4988,1198,5812,5154,390,32329,1347.041667,10/08/2019
55,Bourke St - Spencer St (North),221,124,77,40,42,59,87,207,284,477,708,873,811,777,819,800,1061,1552,1809,923,614,1168,1490,638,15661,652.5416667,10/08/2019
56,RMIT Bld 80 - 445 Swanston Street,5,3,5,2,2,,2,12,24,60,103,137,187,261,288,288,151,110,33,30,20,19,16,9,1767,76.82608696,10/08/2019
57,Flinders La-Swanston St (West) Temporary,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
58,RMIT Building 14,137,76,61,38,28,42,32,78,136,220,437,485,670,727,799,746,677,756,652,517,454,363,317,201,8649,360.375,10/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,10/08/2019
0,Bourke Street Mall (North),212,128,102,95,47,53,25,58,165,610,1413,2275,2712,3213,3312,3373,3169,2683,2032,1226,526,288,200,115,28032,1168,11/08/2019
1,Bourke Street Mall (South),146,73,72,60,50,11,27,42,92,369,836,1333,1731,1886,2029,2114,1895,1489,893,470,89,64,19,24,15814,658.9166667,11/08/2019
2,Melbourne Central,1032,530,276,256,160,128,80,140,265,529,1253,1720,2540,3098,2939,2757,2290,2391,2294,1962,1586,984,715,373,30298,1262.416667,11/08/2019
3,Town Hall (West),470,321,257,169,127,118,146,168,287,624,1384,1940,2673,3033,2808,2950,2473,2272,2063,1257,1047,825,364,303,28079,1169.958333,11/08/2019
4,Princes Bridge,340,161,94,79,55,67,76,151,259,563,1227,1711,2379,2673,2789,2024,2215,1956,1437,753,592,328,190,96,22215,925.625,11/08/2019
5,Flinders Street Station Underpass,650,320,281,168,117,140,179,249,470,781,1058,1274,1561,1661,1680,1530,1514,1542,1295,1022,804,617,487,253,19653,818.875,11/08/2019
6,Birrarung Marr,13,20,11,6,,10,13,24,61,95,157,328,358,635,1477,472,187,331,2218,89,16,7,11,3,6542,284.4347826,11/08/2019
7,Webb Bridge,9,8,7,,1,4,17,21,48,83,148,269,311,219,264,241,233,197,135,65,29,26,26,8,2369,103,11/08/2019
8,Southern Cross Station,29,33,15,17,9,17,17,51,75,124,124,130,164,120,106,148,127,137,153,72,49,44,44,20,1825,76.04166667,11/08/2019
9,Victoria Point,30,10,11,13,13,15,10,22,33,92,96,118,129,72,58,83,103,89,75,48,43,28,25,23,1239,51.625,11/08/2019
10,Waterfront City,6,1,,1,,3,2,2,13,16,46,75,64,54,11,33,16,16,20,15,9,3,12,,418,19.9047619,11/08/2019
11,New Quay,54,15,8,5,,6,12,17,94,167,300,431,564,368,178,256,227,172,156,96,29,44,32,17,3248,141.2173913,11/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,11/08/2019
13,Sandridge Bridge,309,220,175,108,109,98,105,110,185,270,466,481,579,619,606,624,512,551,536,307,238,203,169,127,7707,321.125,11/08/2019
14,State Library,307,153,110,83,38,71,25,58,188,394,913,1235,1826,2164,2056,2057,1745,1743,1378,1195,881,601,332,122,19675,819.7916667,11/08/2019
15,Collins St (North),170,83,50,47,39,17,29,83,164,425,885,1002,1249,1323,1318,1354,1074,783,463,338,283,180,89,57,11505,479.375,11/08/2019
16,Collins Place (South),56,32,29,22,16,16,26,47,104,158,395,331,426,347,341,482,258,370,399,163,205,143,96,65,4527,188.625,11/08/2019
17,Collins Place (North),36,23,15,11,9,4,11,14,30,76,113,125,202,151,134,193,114,115,145,73,43,42,39,30,1748,72.83333333,11/08/2019
18,Chinatown-Swanston St (North),385,290,188,130,71,38,14,39,49,149,425,783,1419,1444,1295,1166,1067,1274,1272,1105,882,555,331,119,14490,603.75,11/08/2019
19,Chinatown-Lt Bourke St (South),1004,422,139,117,92,65,27,48,51,135,318,522,920,1055,735,650,626,691,843,838,608,476,230,109,10721,446.7083333,11/08/2019
20,Bourke St-Russell St (West),611,529,466,358,270,189,123,79,107,281,467,698,968,1279,1134,1113,1069,1086,1164,899,821,551,367,291,14920,621.6666667,11/08/2019
21,Flinders St-Elizabeth St (East),738,487,430,330,266,190,217,323,541,1068,1518,2033,2248,2525,2681,2557,2736,2915,2362,1777,1498,968,836,446,31690,1320.416667,11/08/2019
22,Spencer St-Collins St (South),102,64,40,15,25,32,28,80,91,191,243,239,272,259,222,263,260,275,269,232,144,109,95,49,3599,149.9583333,11/08/2019
23,Spencer St-Collins St (North),366,156,124,104,67,89,196,298,546,890,1253,1353,1544,1238,1236,1506,1339,1196,1179,890,665,471,343,255,17304,721,11/08/2019
24,Melbourne Convention Exhibition Centre,,,,,,,,,,,,,,,,,,,,,,,,,0,,11/08/2019
25,QV Market-Elizabeth St (West),,,,,,,,,,,,,,,,,,,,,,,70,129,199,99.5,11/08/2019
26,QV Market-Peel St,26,16,13,12,11,14,16,43,82,215,336,459,573,544,417,462,283,203,157,152,125,66,74,32,4331,180.4583333,11/08/2019
27,The Arts Centre,98,69,38,50,19,70,72,99,251,566,1358,1976,2472,2796,2891,1940,2095,1683,583,273,278,160,81,46,19964,831.8333333,11/08/2019
28,St Kilda Rd-Alexandra Gardens,29,24,13,3,10,16,16,38,85,209,342,592,621,785,726,495,398,400,331,83,43,25,16,12,5312,221.3333333,11/08/2019
29,Lonsdale St (South),686,501,318,281,182,227,117,88,124,260,497,686,906,1158,965,920,870,892,968,837,688,541,348,211,13271,552.9583333,11/08/2019
30,Lygon St (West),178,92,34,30,31,6,27,23,53,103,231,290,353,362,406,421,352,410,470,548,404,404,212,89,5529,230.375,11/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,11/08/2019
32,Flinders St-Spring St (West),26,29,7,9,7,15,15,25,50,104,119,123,134,168,183,91,97,87,252,55,27,37,42,21,1723,71.79166667,11/08/2019
33,Flinders St-Spark La,29,9,20,7,14,12,10,25,45,99,179,190,211,238,221,86,74,100,373,82,42,26,26,9,2127,88.625,11/08/2019
34,Southbank,337,168,121,73,18,34,64,176,290,688,1031,1408,1736,1724,1809,1322,1240,1355,1460,885,626,418,258,135,17376,724,11/08/2019
